latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
28.90224,20.95266,350.29,0.5,0.66,2024-12-01,111,N,VIIRS,n,2.0NRT,281.11,8.88,N
28.90474,19.77604,313.11,0.43,0.62,2024-12-01,111,N,VIIRS,n,2.0NRT,283.23,3.29,N
28.90557,20.9581,339.2,0.5,0.66,2024-12-01,111,N,VIIRS,n,2.0NRT,282.64,7.83,N
28.90585,19.77162,315.76,0.43,0.62,2024-12-01,111,N,VIIRS,n,2.0NRT,281.47,3.29,N
28.90685,20.95307,367,0.5,0.66,2024-12-01,111,N,VIIRS,h,2.0NRT,282.68,7.83,N
28.90708,19.76675,324.81,0.43,0.62,2024-12-01,111,N,VIIRS,n,2.0NRT,281.78,3.64,N
28.90812,20.95465,367,0.5,0.66,2024-12-01,111,N,VIIRS,h,2.0NRT,284.15,8.88,N
28.91024,19.77799,325.8,0.43,0.62,2024-12-01,111,N,VIIRS,n,2.0NRT,286.61,26.99,N
28.91135,19.77357,367,0.43,0.62,2024-12-01,111,N,VIIRS,h,2.0NRT,290.36,26.99,N
28.9125,19.76898,333.42,0.43,0.62,2024-12-01,111,N,VIIRS,n,2.0NRT,283.23,14.66,N
28.97541,17.46346,314.31,0.63,0.54,2024-12-01,111,N,VIIRS,n,2.0NRT,281.05,1.69,N
28.97557,17.46363,313.73,0.62,0.54,2024-12-01,111,N,VIIRS,n,2.0NRT,281.21,1.97,N
29.03466,20.78615,322.44,0.49,0.65,2024-12-01,111,N,VIIRS,n,2.0NRT,280.45,4.03,N
29.04048,20.78812,367,0.49,0.65,2024-12-01,111,N,VIIRS,h,2.0NRT,283.62,4.03,N
29.04225,20.78959,323.97,0.49,0.65,2024-12-01,111,N,VIIRS,n,2.0NRT,281.45,2.31,N
29.04354,20.78468,314.13,0.48,0.65,2024-12-01,111,N,VIIRS,n,2.0NRT,281.58,2.31,N
29.05463,20.78224,295.42,0.48,0.65,2024-12-01,111,N,VIIRS,n,2.0NRT,281.11,1,N
29.05646,20.78371,302.38,0.48,0.65,2024-12-01,111,N,VIIRS,n,2.0NRT,281.39,0.74,N
29.06996,19.06376,346.15,0.39,0.59,2024-12-01,111,N,VIIRS,n,2.0NRT,281.42,7.75,N
29.07092,19.05985,367,0.38,0.59,2024-12-01,111,N,VIIRS,h,2.0NRT,283.04,11.52,N
29.07527,19.06546,318.46,0.39,0.59,2024-12-01,111,N,VIIRS,n,2.0NRT,281.15,3,N
29.07623,19.06156,343.22,0.38,0.59,2024-12-01,111,N,VIIRS,n,2.0NRT,282.55,4.41,N
29.14524,21.45572,303.89,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.14,1.13,N
29.1703,21.43527,303.68,0.52,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.62,2,N
